pk,fam,bdg_misfit,censored,y_qbound,borderline,warm,outcome,qbound,final_rms,nit,p_ML,rms10,slope
101495,unknown,0,0,0,0,0,STALL,1e-05,0.016963,80,0.6375,0.008213,0.043472249971281525
107110,unknown,0,0,0,0,0,STALL,0.008,0.048017,50,0.503,0.17643,-0.012643780904664103
107116,unknown,0,0,0,1,0,STALL,0.008,0.010164,50,0.8680892857142857,0.035082,-0.013624341631940647
107131,unknown,0,0,1,1,1,CONVERGED,0.0001,8.5546e-05,21,0.8925,0.00044756,-0.14232329524825116
100100,other-KKR,1,0,0,1,0,STALL,0.008,0.011706,50,0.8471492604617604,0.041131,-0.014056592913782164
100112,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
100127,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6142e-09,13,0.765,8.1551e-07,-0.4117435106243128
101725,other-KKR,1,0,,0,0,CONVERGED,,2.3412e-08,30,0.5609166666666667,0.43293,-0.004365986228219522
99269,other-KKR,1,0,1,0,0,CONVERGED,1e-08,1.7391e-09,52,0.735,0.0025062,-0.14330918650545388
99326,other-KKR,1,0,1,1,0,CONVERGED,1e-08,6.9816e-09,50,0.7725,0.0017726,-0.15147660350069644
99810,other-KKR,1,0,0,1,0,STALL,0.008,0.011706,50,0.8471492604617604,0.041131,-0.014056592913782164
99830,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
99846,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6267e-09,13,0.765,8.1552e-07,-0.4117432201478664
99954,other-KKR,1,0,1,1,0,CONVERGED,1e-08,8.2005e-09,30,0.3929166666666667,0.29868,-0.022277452209907
98213,other-KKR,1,0,0,1,0,STALL,0.008,0.011665,50,0.8446492604617605,0.041016,-0.014060531472900107
98219,other-KKR,1,0,1,1,0,STALL,0.008,0.0078033,13,0.975,0.0085607,-0.013435415104181081
98240,other-KKR,1,0,1,1,1,CONVERGED,1e-08,3.7801e-09,24,0.885,0.00021403,-0.1229080191062457
98268,other-KKR,1,0,1,0,1,CONVERGED,1e-08,6.161e-10,14,0.7925,1.9445e-07,-0.411944584797895
98274,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
98287,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6172e-09,13,0.765,8.1551e-07,-0.4117435106243128
98348,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
98357,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6172e-09,13,0.765,8.1551e-07,-0.4117435106243128
98434,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
98443,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.596e-09,13,0.765,8.1551e-07,-0.4117435106243128
